scenario_id,scenario_cn,factor_id,topsis_score,rank,weight_studies,weight_consistency,weight_evidence,spearman_rho,top5_overlap,max_rank_change
S1,原始一致率+CRITIC权重,M1,0.838179476573,1,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M2,0.466327355578,2,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M3,0.466327355578,2,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M4,0.362655339650,4,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M5,0.324334879274,5,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M6,0.292080609271,6,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M7,0.292080609271,6,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M8,0.151632872948,14,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M9,0.265039490825,10,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M10,0.265039490825,10,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M11,0.265039490825,10,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M12,0.097721324840,15,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M13,0.287990394185,8,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M14,0.168554354397,13,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S1,原始一致率+CRITIC权重,M15,0.275128843875,9,0.238194473347,0.419561680818,0.342243845835,1.000000000000,5,0
S2,威尔逊（Wilson）95%下限一致率,M1,1.000000000000,1,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M2,0.546740269330,2,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M3,0.546740269330,2,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M4,0.466336764136,4,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M5,0.418641137675,5,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M6,0.383347230227,6,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M7,0.383347230227,6,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M8,0.154968214101,13,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M9,0.353593124818,9,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M10,0.353593124818,9,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M11,0.353593124818,9,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M12,0.088955423563,14,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M13,0.361214200532,8,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M14,0.044562486907,15,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S2,威尔逊（Wilson）95%下限一致率,M15,0.330943477009,12,0.216450009117,0.280130307970,0.503419682914,0.967509025271,5,3
S3,拉普拉斯（Laplace）修正一致率,M1,0.956913783908,1,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M2,0.490474211710,2,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M3,0.490474211710,2,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M4,0.383844745220,4,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M5,0.348672154180,5,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M6,0.319111534003,6,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M7,0.319111534003,6,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M8,0.150120528082,13,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M9,0.294564726500,8,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M10,0.294564726500,8,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M11,0.294564726500,8,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M12,0.097843235188,14,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M13,0.286157135092,11,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M14,0.058105025386,15,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S3,拉普拉斯（Laplace）修正一致率,M15,0.268352529413,12,0.245669669025,0.348971119941,0.405359211034,0.935018050542,5,3
S4,研究数量使用对数变换log(1+n),M1,0.721186027814,1,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M2,0.641252028385,2,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M3,0.641252028385,2,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M4,0.604027873058,4,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M5,0.548576834664,5,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M6,0.497765305367,6,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M7,0.497765305367,6,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M8,0.264141050119,14,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M9,0.443553539178,10,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M10,0.443553539178,10,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M11,0.443553539178,10,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M12,0.188032231861,15,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M13,0.493253112888,8,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M14,0.288767955562,13,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S4,研究数量使用对数变换log(1+n),M15,0.450615044551,9,0.249887154980,0.429099275794,0.321013569227,1.000000000000,5,0
S5,TOPSIS等权重,M1,0.899083143131,1,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M2,0.447376971511,2,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M3,0.447376971511,2,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M4,0.319780790144,4,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M5,0.278516793851,5,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M6,0.242235778813,6,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M7,0.242235778813,6,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M8,0.154304125687,13,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M9,0.211984022458,9,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M10,0.211984022458,9,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M11,0.211984022458,9,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M12,0.101777306076,15,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M13,0.212347398674,8,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M14,0.105432198253,14,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S5,TOPSIS等权重,M15,0.199951547338,12,0.333333333333,0.333333333333,0.333333333333,0.974729241877,5,3
S6,删除证据等级,M1,0.853153589167,1,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M2,0.414587187685,2,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M3,0.414587187685,2,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M4,0.272624266521,4,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M5,0.215191014825,5,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M6,0.159364728130,7,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M7,0.159364728130,7,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M8,0.159364728130,7,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M9,0.103394662827,12,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M10,0.103394662827,12,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M11,0.103394662827,12,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M12,0.103394662827,12,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M13,0.165762944512,6,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M14,0.153069680939,10,0.400315562670,0.599684437330,,0.865245356821,5,7
S6,删除证据等级,M15,0.153069680939,10,0.400315562670,0.599684437330,,0.865245356821,5,7
