model,K,year,param1,param2,rate_percent
Gompertz,75,2024,1.40090591679495,0.0471210192455409,55.0011969240511
Gompertz,75,2025,1.40090591679495,0.0471210192455409,55.7919600973026
Gompertz,75,2026,1.40090591679495,0.0471210192455409,56.5569197145808
Gompertz,75,2027,1.40090591679495,0.0471210192455409,57.2964429596651
Gompertz,75,2028,1.40090591679495,0.0471210192455409,58.010938012422
Gompertz,75,2029,1.40090591679495,0.0471210192455409,58.7008488026485
Gompertz,75,2030,1.40090591679495,0.0471210192455409,59.3666501031233
Gompertz,75,2031,1.40090591679495,0.0471210192455409,60.0088429583286
Gompertz,75,2032,1.40090591679495,0.0471210192455409,60.6279504425427
Gompertz,75,2033,1.40090591679495,0.0471210192455409,61.2245137387499
Gompertz,75,2034,1.40090591679495,0.0471210192455409,61.7990885279958
Gompertz,75,2035,1.40090591679495,0.0471210192455409,62.3522416774039
Gompertz,75,2036,1.40090591679495,0.0471210192455409,62.8845482139977
Gompertz,75,2037,1.40090591679495,0.0471210192455409,63.3965885707108
Gompertz,75,2038,1.40090591679495,0.0471210192455409,63.8889460904641
Gompertz,75,2039,1.40090591679495,0.0471210192455409,64.3622047739152
Gompertz,75,2040,1.40090591679495,0.0471210192455409,64.8169472564006
Gompertz,75,2041,1.40090591679495,0.0471210192455409,65.2537529996651
Gompertz,75,2042,1.40090591679495,0.0471210192455409,65.6731966841866
Gompertz,75,2043,1.40090591679495,0.0471210192455409,66.0758467882191
Gompertz,75,2044,1.40090591679495,0.0471210192455409,66.4622643400819
Gompertz,75,2045,1.40090591679495,0.0471210192455409,66.8330018306991
Gompertz,75,2046,1.40090591679495,0.0471210192455409,67.1886022739144
Gompertz,75,2047,1.40090591679495,0.0471210192455409,67.5295984026716
Gompertz,75,2048,1.40090591679495,0.0471210192455409,67.8565119897342
Gompertz,75,2049,1.40090591679495,0.0471210192455409,68.1698532822253
Gompertz,75,2050,1.40090591679495,0.0471210192455409,68.4701205398688
Gompertz,80,2024,1.45557587071201,0.0430111045380497,55.3954735705403
Gompertz,80,2025,1.45557587071201,0.0430111045380497,56.259255484734
Gompertz,80,2026,1.45557587071201,0.0430111045380497,57.0993004206028
Gompertz,80,2027,1.45557587071201,0.0430111045380497,57.9157399419718
Gompertz,80,2028,1.45557587071201,0.0430111045380497,58.7087528696393
Gompertz,80,2029,1.45557587071201,0.0430111045380497,59.478560882517
Gompertz,80,2030,1.45557587071201,0.0430111045380497,60.2254243138833
Gompertz,80,2031,1.45557587071201,0.0430111045380497,60.9496381500948
Gompertz,80,2032,1.45557587071201,0.0430111045380497,61.6515282363892
Gompertz,80,2033,1.45557587071201,0.0430111045380497,62.3314476920461
Gompertz,80,2034,1.45557587071201,0.0430111045380497,62.9897735351111
Gompertz,80,2035,1.45557587071201,0.0430111045380497,63.6269035151257
Gompertz,80,2036,1.45557587071201,0.0430111045380497,64.2432531508058
Gompertz,80,2037,1.45557587071201,0.0430111045380497,64.8392529683533
Gompertz,80,2038,1.45557587071201,0.0430111045380497,65.4153459350523
Gompertz,80,2039,1.45557587071201,0.0430111045380497,65.9719850819602
Gompertz,80,2040,1.45557587071201,0.0430111045380497,66.5096313088452
Gompertz,80,2041,1.45557587071201,0.0430111045380497,67.0287513640146
Gompertz,80,2042,1.45557587071201,0.0430111045380497,67.5298159913132
Gompertz,80,2043,1.45557587071201,0.0430111045380497,68.0132982363257
Gompertz,80,2044,1.45557587071201,0.0430111045380497,68.4796719036756
Gompertz,80,2045,1.45557587071201,0.0430111045380497,68.9294101572621
Gompertz,80,2046,1.45557587071201,0.0430111045380497,69.3629842553065
Gompertz,80,2047,1.45557587071201,0.0430111045380497,69.7808624121666
Gompertz,80,2048,1.45557587071201,0.0430111045380497,70.1835087790281
Gompertz,80,2049,1.45557587071201,0.0430111045380497,70.5713825357694
Gompertz,80,2050,1.45557587071201,0.0430111045380497,70.9449370865254
Gompertz,85,2024,1.50784909245875,0.0397445182006984,55.6995166172289
Gompertz,85,2025,1.50784909245875,0.0397445182006984,56.6244694428105
Gompertz,85,2026,1.50784909245875,0.0397445182006984,57.5278521021903
Gompertz,85,2027,1.50784909245875,0.0397445182006984,58.409612660791
Gompertz,85,2028,1.50784909245875,0.0397445182006984,59.2697483858146
Gompertz,85,2029,1.50784909245875,0.0397445182006984,60.1083021892306
Gompertz,85,2030,1.50784909245875,0.0397445182006984,60.9253591655942
Gompertz,85,2031,1.50784909245875,0.0397445182006984,61.7210432368127
Gompertz,85,2032,1.50784909245875,0.0397445182006984,62.4955139136796
Gompertz,85,2033,1.50784909245875,0.0397445182006984,63.2489631819114
Gompertz,85,2034,1.50784909245875,0.0397445182006984,63.9816125185403
Gompertz,85,2035,1.50784909245875,0.0397445182006984,64.6937100428284
Gompertz,85,2036,1.50784909245875,0.0397445182006984,65.3855278043679
Gompertz,85,2037,1.50784909245875,0.0397445182006984,66.0573592097057
Gompertz,85,2038,1.50784909245875,0.0397445182006984,66.7095165876689
Gompertz,85,2039,1.50784909245875,0.0397445182006984,67.3423288925538
Gompertz,85,2040,1.50784909245875,0.0397445182006984,67.9561395434768
Gompertz,85,2041,1.50784909245875,0.0397445182006984,68.5513043974399
Gompertz,85,2042,1.50784909245875,0.0397445182006984,69.1281898530454
Gompertz,85,2043,1.50784909245875,0.0397445182006984,69.6871710812766
Gompertz,85,2044,1.50784909245875,0.0397445182006984,70.2286303793446
Gompertz,85,2045,1.50784909245875,0.0397445182006984,70.7529556432708
Gompertz,85,2046,1.50784909245875,0.0397445182006984,71.2605389546178
Gompertz,85,2047,1.50784909245875,0.0397445182006984,71.7517752766027
Gompertz,85,2048,1.50784909245875,0.0397445182006984,72.2270612546959
Gompertz,85,2049,1.50784909245875,0.0397445182006984,72.6867941167442
Gompertz,85,2050,1.50784909245875,0.0397445182006984,73.1313706676287
Gompertz,90,2024,1.5578916576871,0.0370844039821285,55.941121959195
Gompertz,90,2025,1.5578916576871,0.0370844039821285,56.9179511713937
Gompertz,90,2026,1.5578916576871,0.0370844039821285,57.8753523036883
Gompertz,90,2027,1.5578916576871,0.0370844039821285,58.8131313984006
Gompertz,90,2028,1.5578916576871,0.0370844039821285,59.7311431703036
Gompertz,90,2029,1.5578916576871,0.0370844039821285,60.629288200573
Gompertz,90,2030,1.5578916576871,0.0370844039821285,61.5075101580082
Gompertz,90,2031,1.5578916576871,0.0370844039821285,62.365793061147
Gompertz,90,2032,1.5578916576871,0.0370844039821285,63.2041585930773
Gompertz,90,2033,1.5578916576871,0.0370844039821285,64.0226634790512
Gompertz,90,2034,1.5578916576871,0.0370844039821285,64.8213969354306
Gompertz,90,2035,1.5578916576871,0.0370844039821285,65.60047819704
Gompertz,90,2036,1.5578916576871,0.0370844039821285,66.3600541286724
Gompertz,90,2037,1.5578916576871,0.0370844039821285,67.1002969252772
Gompertz,90,2038,1.5578916576871,0.0370844039821285,67.8214019042604
Gompertz,90,2039,1.5578916576871,0.0370844039821285,68.5235853923367
Gompertz,90,2040,1.5578916576871,0.0370844039821285,69.2070827084832
Gompertz,90,2041,1.5578916576871,0.0370844039821285,69.8721462437569
Gompertz,90,2042,1.5578916576871,0.0370844039821285,70.5190436380395
Gompertz,90,2043,1.5578916576871,0.0370844039821285,71.1480560531635
Gompertz,90,2044,1.5578916576871,0.0370844039821285,71.7594765413387
Gompertz,90,2045,1.5578916576871,0.0370844039821285,72.3536085073437
Gompertz,90,2046,1.5578916576871,0.0370844039821285,72.9307642625566
Gompertz,90,2047,1.5578916576871,0.0370844039821285,73.4912636685686
Gompertz,90,2048,1.5578916576871,0.0370844039821285,74.0354328678569
Gompertz,90,2049,1.5578916576871,0.0370844039821285,74.5636030987713
Gompertz,90,2050,1.5578916576871,0.0370844039821285,75.0761095919137
Gompertz,95,2024,1.6058411473403,0.0348742110290616,56.1378391083321
Gompertz,95,2025,1.6058411473403,0.0348742110290616,57.1591811105722
Gompertz,95,2026,1.6058411473403,0.0348742110290616,58.1631522786855
Gompertz,95,2027,1.6058411473403,0.0348742110290616,59.1494489017323
Gompertz,95,2028,1.6058411473403,0.0348742110290616,60.1178140404274
Gompertz,95,2029,1.6058411473403,0.0348742110290616,61.0680353603213
Gompertz,95,2030,1.6058411473403,0.0348742110290616,61.9999429477452
Gompertz,95,2031,1.6058411473403,0.0348742110290616,62.9134071219926
Gompertz,95,2032,1.6058411473403,0.0348742110290616,63.8083362558155
Gompertz,95,2033,1.6058411473403,0.0348742110290616,64.6846746149918
Gompertz,95,2034,1.6058411473403,0.0348742110290616,65.5424002264589
Gompertz,95,2035,1.6058411473403,0.0348742110290616,66.3815227833219
Gompertz,95,2036,1.6058411473403,0.0348742110290616,67.2020815939359
Gompertz,95,2037,1.6058411473403,0.0348742110290616,68.0041435812184
Gompertz,95,2038,1.6058411473403,0.0348742110290616,68.7878013373888
Gompertz,95,2039,1.6058411473403,0.0348742110290616,69.5531712384412
Gompertz,95,2040,1.6058411473403,0.0348742110290616,70.3003916218383
Gompertz,95,2041,1.6058411473403,0.0348742110290616,71.0296210301705
Gompertz,95,2042,1.6058411473403,0.0348742110290616,71.7410365228427
Gompertz,95,2043,1.6058411473403,0.0348742110290616,72.4348320572393
Gompertz,95,2044,1.6058411473403,0.0348742110290616,73.1112169402641
Gompertz,95,2045,1.6058411473403,0.0348742110290616,73.7704143506595
Gompertz,95,2046,1.6058411473403,0.0348742110290616,74.4126599320708
Gompertz,95,2047,1.6058411473403,0.0348742110290616,75.038200456433
Gompertz,95,2048,1.6058411473403,0.0348742110290616,75.6472925569206
Gompertz,95,2049,1.6058411473403,0.0348742110290616,76.2402015294045
Gompertz,95,2050,1.6058411473403,0.0348742110290616,76.8172002011094
Gompertz,100,2024,1.65182578238635,0.0330067850940269,56.3012402224168
Gompertz,100,2025,1.65182578238635,0.0330067850940269,57.361189121864
Gompertz,100,2026,1.65182578238635,0.0330067850940269,58.4057134201128
Gompertz,100,2027,1.65182578238635,0.0330067850940269,59.4344246113859
Gompertz,100,2028,1.65182578238635,0.0330067850940269,60.4469783438773
Gompertz,100,2029,1.65182578238635,0.0330067850940269,61.4430727850017
Gompertz,100,2030,1.65182578238635,0.0330067850940269,62.4224469407754
Gompertz,100,2031,1.65182578238635,0.0330067850940269,63.3848789418577
Gompertz,100,2032,1.65182578238635,0.0330067850940269,64.330184307748
Gompertz,100,2033,1.65182578238635,0.0330067850940269,65.2582141996284
Gompertz,100,2034,1.65182578238635,0.0330067850940269,66.1688536713653
Gompertz,100,2035,1.65182578238635,0.0330067850940269,67.0620199272467
Gompertz,100,2036,1.65182578238635,0.0330067850940269,67.9376605941341
Gompertz,100,2037,1.65182578238635,0.0330067850940269,68.7957520148561
Gompertz,100,2038,1.65182578238635,0.0330067850940269,69.6362975688622
Gompertz,100,2039,1.65182578238635,0.0330067850940269,70.4593260253965
Gompertz,100,2040,1.65182578238635,0.0330067850940269,71.2648899337395
Gompertz,100,2041,1.65182578238635,0.0330067850940269,72.0530640543996
Gompertz,100,2042,1.65182578238635,0.0330067850940269,72.8239438345237
Gompertz,100,2043,1.65182578238635,0.0330067850940269,73.5776439302237
Gompertz,100,2044,1.65182578238635,0.0330067850940269,74.3142967779923
Gompertz,100,2045,1.65182578238635,0.0330067850940269,75.0340512169029
Gompertz,100,2046,1.65182578238635,0.0330067850940269,75.7370711628504
Gompertz,100,2047,1.65182578238635,0.0330067850940269,76.4235343356925
Gompertz,100,2048,1.65182578238635,0.0330067850940269,77.0936310397959
Gompertz,100,2049,1.65182578238635,0.0330067850940269,77.7475629981668
Gompertz,100,2050,1.65182578238635,0.0330067850940269,78.3855422400629
Logistic,75,2024,0.0670298927382262,2007.85121882711,56.0218158938638
Logistic,75,2025,0.0670298927382262,2007.85121882711,56.9562074910592
Logistic,75,2026,0.0670298927382262,2007.85121882711,57.8586706480795
Logistic,75,2027,0.0670298927382262,2007.85121882711,58.7288915469048
Logistic,75,2028,0.0670298927382262,2007.85121882711,59.5667178998948
Logistic,75,2029,0.0670298927382262,2007.85121882711,60.3721485116722
Logistic,75,2030,0.0670298927382262,2007.85121882711,61.145322054679
Logistic,75,2031,0.0670298927382262,2007.85121882711,61.8865053103047
Logistic,75,2032,0.0670298927382262,2007.85121882711,62.5960811090183
Logistic,75,2033,0.0670298927382262,2007.85121882711,63.2745361809478
Logistic,75,2034,0.0670298927382262,2007.85121882711,63.9224491040543
Logistic,75,2035,0.0670298927382262,2007.85121882711,64.5404785115377
Logistic,75,2036,0.0670298927382262,2007.85121882711,65.129351694335
Logistic,75,2037,0.0670298927382262,2007.85121882711,65.6898537093423
Logistic,75,2038,0.0670298927382262,2007.85121882711,66.2228170799497
Logistic,75,2039,0.0670298927382262,2007.85121882711,66.7291121531045
Logistic,75,2040,0.0670298927382262,2007.85121882711,67.2096381567662
Logistic,75,2041,0.0670298927382262,2007.85121882711,67.6653149834873
Logistic,75,2042,0.0670298927382262,2007.85121882711,68.0970757100539
Logistic,75,2043,0.0670298927382262,2007.85121882711,68.5058598496501
Logistic,75,2044,0.0670298927382262,2007.85121882711,68.8926073218064
Logistic,75,2045,0.0670298927382262,2007.85121882711,69.2582531163216
Logistic,75,2046,0.0670298927382262,2007.85121882711,69.6037226202603
Logistic,75,2047,0.0670298927382262,2007.85121882711,69.929927571811
Logistic,75,2048,0.0670298927382262,2007.85121882711,70.2377626010683
Logistic,75,2049,0.0670298927382262,2007.85121882711,70.528102315437
Logistic,75,2050,0.0670298927382262,2007.85121882711,70.8017988861751
Logistic,80,2024,0.0626328664937529,2010.08511234845,56.4051051170541
Logistic,80,2025,0.0626328664937529,2010.08511234845,57.4335148395606
Logistic,80,2026,0.0626328664937529,2010.08511234845,58.4342382029206
Logistic,80,2027,0.0626328664937529,2010.08511234845,59.4064960862144
Logistic,80,2028,0.0626328664937529,2010.08511234845,60.3496613900145
Logistic,80,2029,0.0626328664937529,2010.08511234845,61.2632545399438
Logistic,80,2030,0.0626328664937529,2010.08511234845,62.1469377892704
Logistic,80,2031,0.0626328664937529,2010.08511234845,63.000508500914
Logistic,80,2032,0.0626328664937529,2010.08511234845,63.8238915910435
Logistic,80,2033,0.0626328664937529,2010.08511234845,64.6171313137403
Logistic,80,2034,0.0626328664937529,2010.08511234845,65.3803825596165
Logistic,80,2035,0.0626328664937529,2010.08511234845,66.1139018314937
Logistic,80,2036,0.0626328664937529,2010.08511234845,66.8180380479674
Logistic,80,2037,0.0626328664937529,2010.08511234845,67.4932233115734
Logistic,80,2038,0.0626328664937529,2010.08511234845,68.1399637629861
Logistic,80,2039,0.0626328664937529,2010.08511234845,68.7588306267841
Logistic,80,2040,0.0626328664937529,2010.08511234845,69.3504515383321
Logistic,80,2041,0.0626328664937529,2010.08511234845,69.9155022256705
Logistic,80,2042,0.0626328664937529,2010.08511234845,70.4546986053283
Logistic,80,2043,0.0626328664937529,2010.08511234845,70.9687893369523
Logistic,80,2044,0.0626328664937529,2010.08511234845,71.4585488687599
Logistic,80,2045,0.0626328664937529,2010.08511234845,71.9247709942172
Logistic,80,2046,0.0626328664937529,2010.08511234845,72.3682629300698
Logistic,80,2047,0.0626328664937529,2010.08511234845,72.7898399169433
Logistic,80,2048,0.0626328664937529,2010.08511234845,73.1903203361493
Logistic,80,2049,0.0626328664937529,2010.08511234845,73.5705213300341
Logistic,80,2050,0.0626328664937529,2010.08511234845,73.9312549081064
Logistic,85,2024,0.0591988745016341,2012.26519748669,56.6957465889645
Logistic,85,2025,0.0591988745016341,2012.26519748669,57.8021117080286
Logistic,85,2026,0.0591988745016341,2012.26519748669,58.8851505736474
Logistic,85,2027,0.0591988745016341,2012.26519748669,59.943757062882
Logistic,85,2028,0.0591988745016341,2012.26519748669,60.9769579531564
Logistic,85,2029,0.0591988745016341,2012.26519748669,61.983912939253
Logistic,85,2030,0.0591988745016341,2012.26519748669,62.9639133792638
Logistic,85,2031,0.0591988745016341,2012.26519748669,63.9163798719089
Logistic,85,2032,0.0591988745016341,2012.26519748669,64.840858779993
Logistic,85,2033,0.0591988745016341,2012.26519748669,65.7370178234796
Logistic,85,2034,0.0591988745016341,2012.26519748669,66.6046408708353
Logistic,85,2035,0.0591988745016341,2012.26519748669,67.443622059192
Logistic,85,2036,0.0591988745016341,2012.26519748669,68.2539593727847
Logistic,85,2037,0.0591988745016341,2012.26519748669,69.0357478054367
Logistic,85,2038,0.0591988745016341,2012.26519748669,69.7891722269751
Logistic,85,2039,0.0591988745016341,2012.26519748669,70.5145000657938
Logistic,85,2040,0.0591988745016341,2012.26519748669,71.2120739107608
Logistic,85,2041,0.0591988745016341,2012.26519748669,71.882304125678
Logistic,85,2042,0.0591988745016341,2012.26519748669,72.5256615589351
Logistic,85,2043,0.0591988745016341,2012.26519748669,73.1426704201693
Logistic,85,2044,0.0591988745016341,2012.26519748669,73.7339013849546
Logistic,85,2045,0.0591988745016341,2012.26519748669,74.2999649780324
Logistic,85,2046,0.0591988745016341,2012.26519748669,74.8415052755666
Logistic,85,2047,0.0591988745016341,2012.26519748669,75.359193957506
Logistic,85,2048,0.0591988745016341,2012.26519748669,75.8537247324842
Logistic,85,2049,0.0591988745016341,2012.26519748669,76.3258081498511
Logistic,85,2050,0.0591988745016341,2012.26519748669,76.7761668064502
Logistic,90,2024,0.0564458208036672,2014.38219386632,56.9234949969224
Logistic,90,2025,0.0564458208036672,2014.38219386632,58.0952866368625
Logistic,90,2026,0.0564458208036672,2014.38219386632,59.2479921405194
Logistic,90,2027,0.0564458208036672,2014.38219386632,60.3802843342921
Logistic,90,2028,0.0564458208036672,2014.38219386632,61.4909464155177
Logistic,90,2029,0.0564458208036672,2014.38219386632,62.5788751184684
Logistic,90,2030,0.0564458208036672,2014.38219386632,63.6430827200536
Logistic,90,2031,0.0564458208036672,2014.38219386632,64.6826979235805
Logistic,90,2032,0.0564458208036672,2014.38219386632,65.6969656749064
Logistic,90,2033,0.0564458208036672,2014.38219386632,66.6852459789779
Logistic,90,2034,0.0564458208036672,2014.38219386632,67.6470117959402
Logistic,90,2035,0.0564458208036672,2014.38219386632,68.5818461046464
Logistic,90,2036,0.0564458208036672,2014.38219386632,69.4894382275283
Logistic,90,2037,0.0564458208036672,2014.38219386632,70.3695795144829
Logistic,90,2038,0.0564458208036672,2014.38219386632,71.2221584848603
Logistic,90,2039,0.0564458208036672,2014.38219386632,72.0471555259975
Logistic,90,2040,0.0564458208036672,2014.38219386632,72.8446372442796
Logistic,90,2041,0.0564458208036672,2014.38219386632,73.6147505606908
Logistic,90,2042,0.0564458208036672,2014.38219386632,74.3577166375135
Logistic,90,2043,0.0564458208036672,2014.38219386632,75.073824716526
Logistic,90,2044,0.0564458208036672,2014.38219386632,75.7634259420039
Logistic,90,2045,0.0564458208036672,2014.38219386632,76.4269272342966
Logistic,90,2046,0.0564458208036672,2014.38219386632,77.0647852719597
Logistic,90,2047,0.0564458208036672,2014.38219386632,77.6775006325755
Logistic,90,2048,0.0564458208036672,2014.38219386632,78.2656121346681
Logistic,90,2049,0.0564458208036672,2014.38219386632,78.8296914156543
Logistic,90,2050,0.0564458208036672,2014.38219386632,79.370337773691
Logistic,95,2024,0.0541906289661438,2016.43140489421,57.106695372521
Logistic,95,2025,0.0541906289661438,2016.43140489421,58.3340526729978
Logistic,95,2026,0.0541906289661438,2016.43140489421,59.5463365733911
Logistic,95,2027,0.0541906289661438,2016.43140489421,60.7420776249766
Logistic,95,2028,0.0541906289661438,2016.43140489421,61.9198940462977
Logistic,95,2029,0.0541906289661438,2016.43140489421,63.0784969368046
Logistic,95,2030,0.0541906289661438,2016.43140489421,64.2166945196674
Logistic,95,2031,0.0541906289661438,2016.43140489421,65.3333954061414
Logistic,95,2032,0.0541906289661438,2016.43140489421,66.4276108894537
Logistic,95,2033,0.0541906289661438,2016.43140489421,67.4984562906872
Logistic,95,2034,0.0541906289661438,2016.43140489421,68.5451513922694
Logistic,95,2035,0.0541906289661438,2016.43140489421,69.5670200062176
Logistic,95,2036,0.0541906289661438,2016.43140489421,70.5634887340927
Logistic,95,2037,0.0541906289661438,2016.43140489421,71.5340849835797
Logistic,95,2038,0.0541906289661438,2016.43140489421,72.47843431272
Logistic,95,2039,0.0541906289661438,2016.43140489421,73.3962571770904
Logistic,95,2040,0.0541906289661438,2016.43140489421,74.2873651577371
Logistic,95,2041,0.0541906289661438,2016.43140489421,75.1516567485413
Logistic,95,2042,0.0541906289661438,2016.43140489421,75.989112781073
Logistic,95,2043,0.0541906289661438,2016.43140489421,76.7997915630407
Logistic,95,2044,0.0541906289661438,2016.43140489421,77.5838238033705
Logistic,95,2045,0.0541906289661438,2016.43140489421,78.3414073929285
Logistic,95,2046,0.0541906289661438,2016.43140489421,79.0728021051361
Logistic,95,2047,0.0541906289661438,2016.43140489421,79.7783242754097
Logistic,95,2048,0.0541906289661438,2016.43140489421,80.4583415126578
Logistic,95,2049,0.0541906289661438,2016.43140489421,81.1132674901503
Logistic,95,2050,0.0541906289661438,2016.43140489421,81.7435568570979
Logistic,100,2024,0.0523099430553344,2018.41112615664,57.2572253033802
Logistic,100,2025,0.0523099430553344,2018.41112615664,58.532292423911
Logistic,100,2026,0.0523099430553344,2018.41112615664,59.7960308360096
Logistic,100,2027,0.0523099430553344,2018.41112615664,61.0468866549885
Logistic,100,2028,0.0523099430553344,2018.41112615664,62.2833723488937
Logistic,100,2029,0.0523099430553344,2018.41112615664,63.5040731741303
Logistic,100,2030,0.0523099430553344,2018.41112615664,64.7076528512985
Logistic,100,2031,0.0523099430553344,2018.41112615664,65.8928584437327
Logistic,100,2032,0.0523099430553344,2018.41112615664,67.0585244145305
Logistic,100,2033,0.0523099430553344,2018.41112615664,68.2035758509708
Logistic,100,2034,0.0523099430553344,2018.41112615664,69.3270308578647
Logistic,100,2035,0.0523099430553344,2018.41112615664,70.4280021332861
Logistic,100,2036,0.0523099430553344,2018.41112615664,71.5056977510725
Logistic,100,2037,0.0523099430553344,2018.41112615664,72.5594211842786
Logistic,100,2038,0.0523099430553344,2018.41112615664,73.5885706122792
Logistic,100,2039,0.0523099430553344,2018.41112615664,74.5926375613523
Logistic,100,2040,0.0523099430553344,2018.41112615664,75.5712049342928
Logistic,100,2041,0.0523099430553344,2018.41112615664,76.5239444888979
Logistic,100,2042,0.0523099430553344,2018.41112615664,77.4506138280709
Logistic,100,2043,0.0523099430553344,2018.41112615664,78.3510529658706
Logistic,100,2044,0.0523099430553344,2018.41112615664,79.2251805341885
Logistic,100,2045,0.0523099430553344,2018.41112615664,80.0729896939757
Logistic,100,2046,0.0523099430553344,2018.41112615664,80.8945438132043
Logistic,100,2047,0.0523099430553344,2018.41112615664,81.689971971164
Logistic,100,2048,0.0523099430553344,2018.41112615664,82.4594643454167
Logistic,100,2049,0.0523099430553344,2018.41112615664,83.2032675339
Logistic,100,2050,0.0523099430553344,2018.41112615664,83.9216798604218
