scenario,year,coverage_mode,adherence_mode,effect_mode,implementation_ramp,achieved_reduction_fraction,baseline_burden_persons,scenario_burden_persons,avoidable_burden_persons
low,2024,0.25,0.4,0.05,0,0,653370960.582632,653370960.582632,0
low,2025,0.25,0.4,0.05,0.166666666666667,0.000833333333333333,670715467.916226,670156538.35963,558929.556596875
low,2026,0.25,0.4,0.05,0.333333333333333,0.00166666666666667,688388975.163185,687241660.204579,1147314.95860529
low,2027,0.25,0.4,0.05,0.5,0.0025,706332053.282423,704566223.149217,1765830.13320601
low,2028,0.25,0.4,0.05,0.666666666666667,0.00333333333333333,724190735.15468,721776766.037498,2413969.11718225
low,2029,0.25,0.4,0.05,0.833333333333333,0.00416666666666667,741801066.667645,738710228.889863,3090837.77778184
low,2030,0.25,0.4,0.05,1,0.005,759628706.050417,755830562.520165,3798143.5302521
low,2031,0.25,0.4,0.05,1,0.005,777377385.802562,773490498.873549,3886886.92901278
low,2032,0.25,0.4,0.05,1,0.005,794701110.20822,790727604.657179,3973505.55104113
low,2033,0.25,0.4,0.05,1,0.005,811459779.336498,807402480.439816,4057298.8966825
low,2034,0.25,0.4,0.05,1,0.005,827736750.721492,823598066.967885,4138683.75360751
low,2035,0.25,0.4,0.05,1,0.005,843911464.34658,839691907.024848,4219557.32173288
low,2036,0.25,0.4,0.05,1,0.005,858649876.65352,854356627.270252,4293249.38326764
low,2037,0.25,0.4,0.05,1,0.005,871641765.462096,867283556.634786,4358208.82731044
low,2038,0.25,0.4,0.05,1,0.005,882877197.365525,878462811.378697,4414385.98682761
low,2039,0.25,0.4,0.05,1,0.005,892044518.590146,887584295.997196,4460222.5929507
low,2040,0.25,0.4,0.05,1,0.005,899720677.272446,895222073.886083,4498603.3863622
low,2041,0.25,0.4,0.05,1,0.005,906187516.985882,901656579.400952,4530937.58492947
low,2042,0.25,0.4,0.05,1,0.005,911776619.733912,907217736.635243,4558883.09866953
low,2043,0.25,0.4,0.05,1,0.005,916664102.826891,912080782.312757,4583320.51413441
low,2044,0.25,0.4,0.05,1,0.005,920855695.045438,916251416.57021,4604278.47522724
low,2045,0.25,0.4,0.05,1,0.005,924341289.608347,919719583.160306,4621706.4480418
low,2046,0.25,0.4,0.05,1,0.005,927112908.269566,922477343.728218,4635564.54134786
low,2047,0.25,0.4,0.05,1,0.005,929209886.157738,924563836.726949,4646049.43078864
low,2048,0.25,0.4,0.05,1,0.005,930665250.6678,926011924.414461,4653326.25333905
low,2049,0.25,0.4,0.05,1,0.005,931491550.794284,926834093.040313,4657457.75397146
low,2050,0.25,0.4,0.05,1,0.005,931725379.155847,927066752.260068,4658626.89577925
medium,2024,0.5,0.6,0.1,0,0,653370960.582632,653370960.582632,0
medium,2025,0.5,0.6,0.1,0.166666666666667,0.005,670715467.916226,667361890.576645,3353577.33958113
medium,2026,0.5,0.6,0.1,0.333333333333333,0.01,688388975.163185,681505085.411553,6883889.75163186
medium,2027,0.5,0.6,0.1,0.5,0.015,706332053.282423,695737072.483187,10594980.7992364
medium,2028,0.5,0.6,0.1,0.666666666666667,0.02,724190735.15468,709706920.451586,14483814.7030936
medium,2029,0.5,0.6,0.1,0.833333333333333,0.025,741801066.667645,723256040.000954,18545026.6666912
medium,2030,0.5,0.6,0.1,1,0.03,759628706.050417,736839844.868904,22788861.1815125
medium,2031,0.5,0.6,0.1,1,0.03,777377385.802562,754056064.228485,23321321.5740769
medium,2032,0.5,0.6,0.1,1,0.03,794701110.20822,770860076.901974,23841033.3062466
medium,2033,0.5,0.6,0.1,1,0.03,811459779.336498,787115985.956403,24343793.380095
medium,2034,0.5,0.6,0.1,1,0.03,827736750.721492,802904648.199847,24832102.5216448
medium,2035,0.5,0.6,0.1,1,0.03,843911464.34658,818594120.416183,25317343.9303974
medium,2036,0.5,0.6,0.1,1,0.03,858649876.65352,832890380.353914,25759496.2996056
medium,2037,0.5,0.6,0.1,1,0.03,871641765.462096,845492512.498233,26149252.9638629
medium,2038,0.5,0.6,0.1,1,0.03,882877197.365525,856390881.444559,26486315.9209658
medium,2039,0.5,0.6,0.1,1,0.03,892044518.590146,865283183.032442,26761335.5577044
medium,2040,0.5,0.6,0.1,1,0.03,899720677.272446,872729056.954272,26991620.3181734
medium,2041,0.5,0.6,0.1,1,0.03,906187516.985882,879001891.476305,27185625.5095764
medium,2042,0.5,0.6,0.1,1,0.03,911776619.733912,884423321.141895,27353298.5920174
medium,2043,0.5,0.6,0.1,1,0.03,916664102.826891,889164179.742085,27499923.0848068
medium,2044,0.5,0.6,0.1,1,0.03,920855695.045438,893230024.194074,27625670.8513632
medium,2045,0.5,0.6,0.1,1,0.03,924341289.608347,896611050.920097,27730238.6882504
medium,2046,0.5,0.6,0.1,1,0.03,927112908.269566,899299521.021479,27813387.248087
medium,2047,0.5,0.6,0.1,1,0.03,929209886.157738,901333589.573006,27876296.5847322
medium,2048,0.5,0.6,0.1,1,0.03,930665250.6678,902745293.147766,27919957.5200341
medium,2049,0.5,0.6,0.1,1,0.03,931491550.794284,903546804.270456,27944746.5238285
medium,2050,0.5,0.6,0.1,1,0.03,931725379.155847,903773617.781172,27951761.3746754
high,2024,0.75,0.8,0.15,0,0,653370960.582632,653370960.582632,0
high,2025,0.75,0.8,0.15,0.166666666666667,0.015,670715467.916226,660654735.897483,10060732.0187434
high,2026,0.75,0.8,0.15,0.333333333333333,0.03,688388975.163185,667737305.908289,20651669.2548956
high,2027,0.75,0.8,0.15,0.5,0.045,706332053.282423,674547110.884714,31784942.3977091
high,2028,0.75,0.8,0.15,0.666666666666667,0.06,724190735.15468,680739291.045399,43451444.1092808
high,2029,0.75,0.8,0.15,0.833333333333333,0.075,741801066.667645,686165986.667572,55635080.0000733
high,2030,0.75,0.8,0.15,1,0.09,759628706.050417,691262122.505879,68366583.5445375
high,2031,0.75,0.8,0.15,1,0.09,777377385.802562,707413421.080332,69963964.7222306
high,2032,0.75,0.8,0.15,1,0.09,794701110.20822,723178010.289481,71523099.9187398
high,2033,0.75,0.8,0.15,1,0.09,811459779.336498,738428399.196213,73031380.1402848
high,2034,0.75,0.8,0.15,1,0.09,827736750.721492,753240443.156558,74496307.5649343
high,2035,0.75,0.8,0.15,1,0.09,843911464.34658,767959432.555388,75952031.7911922
high,2036,0.75,0.8,0.15,1,0.09,858649876.65352,781371387.754703,77278488.8988167
high,2037,0.75,0.8,0.15,1,0.09,871641765.462096,793194006.570507,78447758.8915886
high,2038,0.75,0.8,0.15,1,0.09,882877197.365525,803418249.602628,79458947.7628971
high,2039,0.75,0.8,0.15,1,0.09,892044518.590146,811760511.917033,80284006.6731131
high,2040,0.75,0.8,0.15,1,0.09,899720677.272446,818745816.317925,80974860.9545201
high,2041,0.75,0.8,0.15,1,0.09,906187516.985882,824630640.457153,81556876.5287293
high,2042,0.75,0.8,0.15,1,0.09,911776619.733912,829716723.95786,82059895.7760521
high,2043,0.75,0.8,0.15,1,0.09,916664102.826891,834164333.572471,82499769.2544202
high,2044,0.75,0.8,0.15,1,0.09,920855695.045438,837978682.491348,82877012.5540893
high,2045,0.75,0.8,0.15,1,0.09,924341289.608347,841150573.543596,83190716.0647513
high,2046,0.75,0.8,0.15,1,0.09,927112908.269566,843672746.525305,83440161.7442609
high,2047,0.75,0.8,0.15,1,0.09,929209886.157738,845580996.403542,83628889.7541964
high,2048,0.75,0.8,0.15,1,0.09,930665250.6678,846905378.107698,83759872.560102
high,2049,0.75,0.8,0.15,1,0.09,931491550.794284,847657311.222799,83834239.5714855
high,2050,0.75,0.8,0.15,1,0.09,931725379.155847,847870095.031821,83855284.1240262
