plan_id,profile_id,profile_name,plan_type,energy_deficit_kcal_day,aerobic_min_week,strength_days_week,monitoring_days_week,sleep_hours_target,sleep_action_score,diet_structure_score,time_burden_min_day,time_adaptation_score,expected_loss_kg_6m,effect_score,feasibility_score,persistence_score,failure_coverage_score,profile_match_score,cover_activity,cover_energy,cover_monitoring,cover_unhealthy_food,cover_fruit_veg,plan_summary,is_safe,safety_gate_result,topsis_score,rank,distance_to_best,distance_to_worst
P1_3,1,久坐办公型,能量控制与饮食记录型,750,150,2,7,7,70,92,48,42.1052631578947,7.50757792207792,83.4175324675325,85.425,86.43,90,71.3726884779516,0.5,1,1,1,1,逐日记录总能量和体重，替换甜食油炸快餐并增加蔬菜全谷物，运动保持指南下限。,1,通过,0.832630058891358,1,0.0131648006894912,0.065492099123515
P1_1,1,久坐办公型,久坐中断与步行激活型,600,240,2,6,7,78,80,42,57.8947368421053,7.10303376623377,78.9225974025974,87.6571428571429,84.6685714285714,70,78.3570412517781,1,0.5,1,0.5,0.5,每坐 60 分钟起身活动 3-5 分钟，工作日安排午间步行，并记录久坐中断完成情况。,1,通过,0.706957413881074,2,0.0248811316764832,0.0600250657674123
P1_2,1,久坐办公型,下班有氧强化型,550,300,3,4,7,70,72,64,0,7.24242857142857,80.4714285714286,74.5964285714286,70.3157142857143,50,52.027027027027,1,0.5,0.5,0,0.5,以每周 300 分钟有氧和 3 次抗阻为主，下班后分次完成，饮食保持保守的膳食能量摄入削减量。,1,通过,0.0262294612012489,3,0.0738108028874613,0.00198816611658634
P2_2,2,夜班熬夜型,夜间加餐能量管理型,720,150,2,7,7,88,90,40,63.1578947368421,7.26212337662338,80.6902597402597,90.005,88.44,80,76.7710843373494,0.5,1,1,1,0.5,预先准备低能量夜间加餐，控制含糖饮料和高油宵夜，并记录夜班总能量。,1,通过,0.83411993742029,1,0.00991793364568976,0.0498718535743621
P2_1,2,夜班熬夜型,睡眠窗口与夜间餐次管理型,620,180,2,6,7,95,82,32,84.2105263157895,6.71818441558442,74.6464935064935,93.8046428571429,86.0085714285714,60,77.1686746987952,0.5,0.5,1,0.5,0.5,按班次固定不少于 7 小时睡眠窗口，夜班日采用 3+1 餐次并记录夜间进食。,1,通过,0.54167567974713,2,0.0282484001164064,0.0333856848931367
P2_3,2,夜班熬夜型,低负担活动安排型,550,210,2,4,7,82,72,44,52.6315789473684,6.4197,71.33,83.8614285714286,77.1257142857143,50,63.9518072289157,1,0.5,0.5,0,0.5,在交接班前后安排短时快走和每周 2 次抗阻，避免用高负担训练进一步挤压睡眠。,1,通过,0,3,0.0526719728833279,0
P3_1,3,高压应酬型,应酬饮食与饮酒管理型,750,150,2,6,7,78,94,40,63.1578947368421,7.50757792207792,83.4175324675325,86.4071428571429,83.0285714285714,90,79.3337774816789,0.5,1,1,1,1,应酬前定量加餐，席间优先蔬菜和优质蛋白、限制酒精，应酬后记录外食能量。,1,通过,0.866603475925043,1,0.0116450789559131,0.0756516406300459
P3_2,3,高压应酬型,压力调节与体重监测型,600,150,2,7,7,88,80,32,84.2105263157895,6.28030519480519,69.7811688311688,92.125,85.44,60,73.2045303131246,0.5,0.5,1,0.5,0.5,通过固定称重、饮食记录和睡眠窗口形成反馈，并用低负担活动缓解压力性进食。,1,通过,0.558497860977086,2,0.0432223708077712,0.0546760695110602
P3_3,3,高压应酬型,应酬后补偿活动型,550,270,3,4,7,70,72,58,15.7894736842105,6.96818571428571,77.4242857142857,75.0964285714286,68.8157142857143,50,52.78703086831,1,0.5,0.5,0,0.5,应酬次日不极端节食，采用快走和抗阻补足周活动量，同时保持保守的膳食能量摄入削减量。,1,通过,0.11549244052322,3,0.078923748689114,0.0103052780653893
P4_1,4,时间受限型,碎片运动与周末备餐型,650,210,2,5,7,78,86,34,78.9473684210526,7.23788181818182,80.4209090909091,89.1592857142857,80.9371428571429,70,75.4954954954955,1,0.5,0.5,0.5,1,每日安排 3 次 10-15 分钟碎片化运动，周末集中备餐并预留蔬菜和优质蛋白。,1,通过,0.666671469746901,1,0.0129457072998745,0.0258919742212505
P4_2,4,时间受限型,外卖能量管理型,700,150,2,5,7,72,90,28,94.7368421052632,7.09848701298701,78.8720779220779,90.7642857142857,80.4171428571429,70,70.4504504504504,0.5,1,0.5,1,0.5,外卖按主食、蛋白和蔬菜定量选择，减少油炸和含糖饮料，运动保持指南下限。,1,通过,0.663712969910121,2,0.0123687976989327,0.0244116802624889
P4_3,4,时间受限型,最小时间监测型,550,150,2,7,7,72,74,26,100,5.87121428571429,65.2357142857143,93.05,83.32,60,77.4324324324324,0.5,0.5,1,0.5,0.5,用手机完成每日体重和饮食简记，以最少记录时间维持反馈，活动按周累计完成。,1,通过,0.404148078765518,3,0.024674682074096,0.0167360798866529
P5_3,5,饮食失衡型,总能量记录与份量控制型,700,150,2,7,7,68,90,34,78.9473684210526,7.09848701298701,78.8720779220779,92.1,86.84,70,74.0021929824561,0.5,1,1,0.5,0.5,记录总能量和份量，固定餐具与进餐份量，通过每日称重反馈调整摄入。,1,通过,0.842998265783786,1,0.00598254037665021,0.0321223914351945
P5_1,5,饮食失衡型,高糖高油替换型,750,150,2,5,7,68,96,38,68.4210526315789,7.50757792207792,83.4175324675325,88.3142857142857,82.5371428571429,70,65.5866228070176,0.5,1,0.5,1,0.5,用低糖低油食物替换甜食、油炸和快餐，保持每日膳食能量摄入削减量并记录替换完成率。,1,通过,0.556006608136716,2,0.0169852774729658,0.0212704213375155
P5_2,5,饮食失衡型,果蔬全谷提升型,650,150,2,4,7,72,96,42,57.8947368421053,6.6893961038961,74.3266233766234,85.9714285714286,80.6857142857143,60,59.6189692982456,0.5,0.5,0.5,0.5,1,保证每日蔬菜 300-500 克并增加全谷杂豆，以食物结构改善为主要抓手。,1,通过,0,3,0.0337523391721315,0
