scope,scenario,year,baseline_p05,baseline_p50,baseline_p95,scenario_p05,scenario_p50,scenario_p95,avoidable_p05,avoidable_p50,avoidable_p95
policy_only_primary,low,2024,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,0,0,0
policy_only_primary,low,2025,670715467.916227,670715467.916227,670715467.916227,669902682.139794,670167775.925752,670367452.153309,348015.762917578,547691.990474463,812785.776432812
policy_only_primary,low,2026,688388975.163185,688388975.163185,688388975.163185,686720569.425043,687264727.561741,687674603.046138,714372.117046297,1124247.60144317,1668405.73814154
policy_only_primary,low,2027,706332053.282423,706332053.282423,706332053.282423,703764213.383948,704601726.071989,705232564.601359,1099488.68106443,1730327.2104342,2567839.89847517
policy_only_primary,low,2028,724190735.15468,724190735.15468,724190735.15468,720680382.660279,721825300.127798,722687684.736142,1503050.4185372,2365435.02688134,3510352.4944005
policy_only_primary,low,2029,741801066.667645,741801066.667645,741801066.667645,737306423.374243,738772371.772614,739876566.067178,1924500.60046685,3028694.89503133,4494643.29340243
policy_only_primary,low,2030,759628706.050417,759628706.050417,759628706.050417,754105510.860963,755906926.148747,757263803.706731,2364902.34368598,3721779.90167004,5523195.18945408
policy_only_primary,low,2031,777377385.802562,777377385.802562,777377385.802562,771725141.484441,773568646.733793,774957227.655602,2420158.1469605,3808739.06876916,5652244.31812102
policy_only_primary,low,2032,794701110.20822,794701110.20822,794701110.20822,788922906.57532,790807494.029356,792227019.243658,2474090.964562,3893616.17886448,5778203.63290024
policy_only_primary,low,2033,811459779.336498,811459779.336498,811459779.336498,805559724.857291,807484054.520291,808933514.703955,2526264.63254333,3975724.81620747,5900054.4792068
policy_only_primary,low,2034,827736750.721492,827736750.721492,827736750.721492,821718347.778968,823681277.332754,825159812.059031,2576938.66246068,4055473.38873792,6018402.94252366
policy_only_primary,low,2035,843911464.34658,843911464.34658,843911464.34658,837775456.448144,839776743.394387,841284170.006595,2627294.33998543,4134720.95219314,6136007.89843607
policy_only_primary,low,2036,858649876.65352,858649876.65352,858649876.65352,852406707.022904,854442945.256579,855976698.178918,2673178.47460181,4206931.39694017,6243169.63061589
policy_only_primary,low,2037,871641765.462096,871641765.462096,871641765.462096,865304132.921906,867371180.664136,868928140.1902,2713625.27189577,4270584.7979601,6337632.54018992
policy_only_primary,low,2038,882877197.365524,882877197.365524,882877197.365524,876457872.963315,878551564.878724,880128593.558682,2748603.80684203,4325632.48680031,6419324.40220904
policy_only_primary,low,2039,892044518.590146,892044518.590146,892044518.590146,885558539.381339,887673971.065757,889267374.762006,2777143.82814026,4370547.52438939,6485979.20880699
policy_only_primary,low,2040,899720677.272446,899720677.272446,899720677.272446,893178885.37203,895312520.620231,896919635.761775,2801041.51067078,4408156.65221488,6541791.90041524
policy_only_primary,low,2041,906187516.985882,906187516.985882,906187516.985882,899598705.248392,901747676.230788,903366342.686294,2821174.29958826,4439840.75509447,6588811.73749053
policy_only_primary,low,2042,911776619.733912,911776619.733912,911776619.733912,905147170.109563,907309395.324,908938045.246466,2838574.48744661,4467224.40991199,6629449.62434947
policy_only_primary,low,2043,916664102.826892,916664102.826892,916664102.826892,909999116.732037,912172932.328318,913810312.458148,2853790.36874396,4491170.4985739,6664986.09485501
policy_only_primary,low,2044,920855695.045438,920855695.045438,920855695.045438,914160232.242958,916343987.956355,917988855.26692,2866839.77851808,4511707.08908284,6695462.80247962
policy_only_primary,low,2045,924341289.608347,924341289.608347,924341289.608347,917620483.346663,919812504.944804,921463598.356359,2877691.25198835,4528784.66354299,6720806.261684
policy_only_primary,low,2046,927112908.269566,927112908.269566,927112908.269566,920371949.806241,922570544.136808,924226588.318563,2886319.95100343,4542364.13275766,6740958.46332508
policy_only_primary,low,2047,929209886.157738,929209886.157738,929209886.157738,922453680.747988,924657247.939633,926317037.822693,2892848.3350454,4552638.21810526,6756205.4097504
policy_only_primary,low,2048,930665250.6678,930665250.6678,930665250.6678,923898463.427483,926105481.931404,927767871.441658,2897379.22614169,4559768.73639667,6766787.24031699
policy_only_primary,low,2049,931491550.794284,931491550.794284,931491550.794284,924718755.596596,926927733.6232,928591599.102028,2899951.69225591,4563817.17108452,6772795.1976878
policy_only_primary,low,2050,931725379.155847,931725379.155847,931725379.155847,924950883.812191,927160416.349152,928824699.501054,2900679.65479326,4564962.80669516,6774495.34365582
policy_only_primary,medium,2024,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,0,0,0
policy_only_primary,medium,2025,670715467.916227,670715467.916227,670715467.916227,666266760.704949,667396665.065074,668317332.52179,2398135.3944366,3318802.85115218,4448707.21127796
policy_only_primary,medium,2026,688388975.163185,688388975.163185,688388975.163185,679257111.818846,681576467.019989,683466321.533002,4922653.63018274,6812508.14319575,9131863.34433895
policy_only_primary,medium,2027,706332053.282423,706332053.282423,706332053.282423,692277220.871491,695846935.772415,698755607.032581,7576446.24984217,10485117.5100081,14054832.4109326
policy_only_primary,medium,2028,724190735.15468,724190735.15468,724190735.15468,704977147.874026,709857108.503269,713833392.780018,10357342.374662,14333626.6514108,19213587.2806541
policy_only_primary,medium,2029,741801066.667645,741801066.667645,741801066.667645,717200055.415656,723448340.267187,728539561.016573,13261505.6510721,18352726.400458,24601011.2519888
policy_only_primary,medium,2030,759628706.050417,759628706.050417,759628706.050417,729398011.836676,737076151.030719,743332444.159193,16296261.8912237,22552555.019698,30230694.2137403
policy_only_primary,medium,2031,777377385.802562,777377385.802562,777377385.802562,746440353.207964,754297891.669783,760700362.716875,16677023.0856871,23079494.1327792,30937032.5945981
policy_only_primary,medium,2032,794701110.20822,794701110.20822,794701110.20822,763074651.041167,771107293.427162,777652442.465614,17048667.7426062,23593816.7810583,31626459.1670528
policy_only_primary,medium,2033,811459779.336498,811459779.336498,811459779.336498,779166380.916346,787368415.787444,794051589.028608,17408190.3078904,24091363.5490543,32293398.4201524
policy_only_primary,medium,2034,827736750.721492,827736750.721492,827736750.721492,794795583.015179,803162141.489658,809979371.676561,17757379.0449314,24574609.2318336,32941167.7063132
policy_only_primary,medium,2035,843911464.34658,843911464.34658,843911464.34658,810326596.872604,818856645.354304,825807090.293232,18104374.0533487,25054818.9922761,33584867.4739763
policy_only_primary,medium,2036,858649876.65352,858649876.65352,858649876.65352,824478469.423873,833157490.134098,840229320.464212,18420556.1893076,25492386.5194216,34171407.2296468
policy_only_primary,medium,2037,871641765.462096,871641765.462096,871641765.462096,836953324.299025,845763663.809963,852942495.184182,18699270.2779141,25878101.6521325,34688441.1630707
policy_only_primary,medium,2038,882877197.365524,882877197.365524,882877197.365524,847741623.407805,856665527.887224,863936894.147042,18940303.2184823,26211669.4783006,35135573.9577196
policy_only_primary,medium,2039,892044518.590146,892044518.590146,892044518.590146,856544115.759461,865560681.25582,872907549.465903,19136969.1242432,26483837.3343266,35500402.8306852
policy_only_primary,medium,2040,899720677.272446,899720677.272446,899720677.272446,863914788.874914,873008943.085823,880419032.048933,19301645.2235125,26711734.1866225,35805888.3975317
policy_only_primary,medium,2041,906187516.985882,906187516.985882,906187516.985882,870124269.891464,879283789.319709,886747139.098979,19440377.8869036,26903727.6661727,36063247.0944176
policy_only_primary,medium,2042,911776619.733912,911776619.733912,911776619.733912,875490944.952443,884706957.649738,892216339.213797,19560280.5201156,27069662.0841742,36285674.7814692
policy_only_primary,medium,2043,916664102.826892,916664102.826892,916664102.826892,880183922.485427,889449336.653727,896998971.471312,19665131.35558,27214766.1731644,36480180.3414643
policy_only_primary,medium,2044,920855695.045438,920855695.045438,920855695.045438,884208703.284634,893516485.030991,901100641.753008,19755053.2924296,27339210.0144463,36646991.7608042
policy_only_primary,medium,2045,924341289.608347,924341289.608347,924341289.608347,887555582.785112,896898596.059735,904511460.097758,19829829.5105891,27442693.5486127,36785706.8232355
policy_only_primary,medium,2046,927112908.269566,927112908.269566,927112908.269566,890216900.248447,899587928.359402,907223619.416266,19889288.8532996,27524979.9101639,36896008.0211194
policy_only_primary,medium,2047,929209886.157738,929209886.157738,929209886.157738,892230425.396082,901622649.241195,909275610.983393,19934275.1743451,27587236.9165427,36979460.7616562
policy_only_primary,medium,2048,930665250.6678,930665250.6678,930665250.6678,893627871.242562,903034805.552403,910699753.659664,19965497.0081361,27630445.1153976,37037379.4252385
policy_only_primary,medium,2049,931491550.794284,931491550.794284,931491550.794284,894421287.374202,903836573.721475,911508327.226903,19983223.567381,27654977.072809,37070263.4200818
policy_only_primary,medium,2050,931725379.155847,931725379.155847,931725379.155847,894645810.145231,904063459.971784,911737139.28486,19988239.8709873,27661919.1840633,37079569.0106165
policy_only_primary,high,2024,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,0,0,0
policy_only_primary,high,2025,670715467.916227,670715467.916227,670715467.916227,658467670.472319,660700912.486352,662637367.673026,8078100.24320066,10014555.4298746,12247797.443907
policy_only_primary,high,2026,688388975.163185,688388975.163185,688388975.163185,663247915.701379,667832092.613557,671807055.068338,16581920.0948469,20556882.5496278,25141059.4618059
policy_only_primary,high,2027,706332053.282423,706332053.282423,706332053.282423,667637499.493681,674692996.911157,680810853.588932,25521199.6934913,31639056.3712664,38694553.7887427
policy_only_primary,high,2028,724190735.15468,724190735.15468,724190735.15468,671293541.87846,680938723.797077,689302108.703576,34888626.451104,43252011.357603,52897193.2762192
policy_only_primary,high,2029,741801066.667645,741801066.667645,741801066.667645,674071681.832925,686421339.67877,697129789.026834,44671277.6408107,55379726.9888749,67729384.8347199
policy_only_primary,high,2030,759628706.050417,759628706.050417,759628706.050417,676400163.075069,691575910.3709,704734875.847105,54893830.2033122,68052795.6795173,83228542.9753476
policy_only_primary,high,2031,777377385.802562,777377385.802562,777377385.802562,692204212.847145,707734540.580244,721200964.505882,56176421.2966806,69642845.2223183,85173172.9554172
policy_only_primary,high,2032,794701110.20822,794701110.20822,794701110.20822,707629867.406699,723506285.883485,737272806.803296,57428303.4049248,71194824.3247355,87071242.8015214
policy_only_primary,high,2033,811459779.336498,811459779.336498,811459779.336498,722552376.839269,738763597.470949,752820426.993805,58639352.3426937,72696181.8655492,88907402.4972292
policy_only_primary,high,2034,827736750.721492,827736750.721492,827736750.721492,737045965.630064,753582365.132042,767921158.860313,59815591.8611786,74154385.5894496,90690785.0914285
policy_only_primary,high,2035,843911464.34658,843911464.34658,843911464.34658,751448500.508697,768308035.990927,782927022.524558,60984441.8220223,75603428.355653,92462963.8378835
policy_only_primary,high,2036,858649876.65352,858649876.65352,858649876.65352,764572102.089941,781726079.342118,796600377.789551,62049498.8639686,76923797.3114018,94077774.563579
policy_only_primary,high,2037,871641765.462096,871641765.462096,871641765.462096,776140537.614797,793554064.854862,808653420.379445,62988345.0826513,78087700.6072343,95501227.8472992
policy_only_primary,high,2038,882877197.365524,882877197.365524,882877197.365524,786144962.027891,803782949.025687,819076934.715441,63800262.6500829,79094248.3398373,96732235.3376336
policy_only_primary,high,2039,892044518.590146,892044518.590146,892044518.590146,794307867.828984,812128998.182444,827581788.380958,64462730.2091883,79915520.4077023,97736650.7611624
policy_only_primary,high,2040,899720677.272446,899720677.272446,899720677.272446,801142989.965815,819117473.455402,834703236.916098,65017440.3563479,80603203.8170434,98577687.3066309
policy_only_primary,high,2041,906187516.985882,906187516.985882,906187516.985882,806901291.886093,825004968.920516,840702756.742392,65484760.24349,81182548.0653655,99286225.0997888
policy_only_primary,high,2042,911776619.733912,911776619.733912,911776619.733912,811878025.887981,830093361.171018,845887968.412063,65888651.3218491,81683258.5628941,99898593.8459315
policy_only_primary,high,2043,916664102.826892,916664102.826892,916664102.826892,816230013.029576,834542989.709971,850422262.289192,66241840.5376997,82121113.1169208,100434089.797316
policy_only_primary,high,2044,920855695.045438,920855695.045438,920855695.045438,819962354.418976,838359070.094184,854310953.169632,66544741.8758057,82496624.9512532,100893340.626461
policy_only_primary,high,2045,924341289.608347,924341289.608347,924341289.608347,823066050.622118,841532400.977849,857544664.628902,66796624.9794456,82808888.6304982,101275238.98623
policy_only_primary,high,2046,927112908.269566,927112908.269566,927112908.269566,825533997.527623,844055718.861397,860115994.961144,66996913.3084219,83057189.4081691,101578910.741943
policy_only_primary,high,2047,929209886.157738,929209886.157738,929209886.157738,827401220.519891,845964834.960472,862061436.78016,67148449.3775785,83245051.1972662,101808665.637847
policy_only_primary,high,2048,930665250.6678,930665250.6678,930665250.6678,828697128.354994,847289817.847441,863411630.788287,67253619.8795132,83375432.8203587,101968122.312806
policy_only_primary,high,2049,931491550.794284,931491550.794284,931491550.794284,829432895.099788,848042092.291076,864178219.139164,67313331.65512,83449458.5032084,102058655.694496
policy_only_primary,high,2050,931725379.155847,931725379.155847,931725379.155847,829641104.111155,848254972.690053,864395150.121423,67330229.0344239,83470406.4657943,102084275.044692
joint_structure_policy,low,2024,634122783.852809,642361044.140532,652937764.75949,634122783.852809,642361044.140532,652937764.75949,0,0,0
joint_structure_policy,low,2025,647077255.228544,657129472.100196,670142585.621629,646543780.389859,656588613.725943,669583665.63017,342390.760108232,538665.614678264,798712.77293247
joint_structure_policy,low,2026,660182552.82705,672133076.707325,687664035.300881,659087494.449039,671053134.229444,686519096.923355,700903.995673656,1102124.55931139,1634756.09751821
joint_structure_policy,low,2027,673392028.404865,687326678.575577,705442636.966473,671690504.850319,685668109.425743,703680533.562045,1075574.90846097,1690713.69149703,2508583.14480752
joint_structure_policy,low,2028,686381055.0834,702353483.87116,723124897.143197,684057392.61664,700085594.730651,720724584.590019,1465620.23785216,2304254.57370019,3420357.08655655
joint_structure_policy,low,2029,699011589.559378,717087458.055667,740547362.382053,696038573.415604,714179113.502596,737477918.801617,1869651.35033315,2941289.04197532,4366761.34793395
joint_structure_policy,low,2030,711738522.538631,731987704.404211,758175181.99305,708110528.035961,728420755.962536,754419351.150341,2290056.67273176,3603636.11772305,5350656.78975052
joint_structure_policy,low,2031,724296393.378007,746768776.076155,775712835.889508,720596186.824386,743103038.921029,771849692.541605,2337029.51396853,3677478.38982415,5460073.4043799
joint_structure_policy,low,2032,736379313.286125,761112042.174385,792815501.683274,732627192.982656,757349568.576785,788863545.31627,2381924.96536285,3747777.29602307,5567267.26337075
joint_structure_policy,low,2033,747877359.792212,774921133.603312,809344077.395909,744082964.388451,771059326.72639,805295620.39116,2425627.57051247,3816264.56604487,5671488.4299413
joint_structure_policy,low,2034,758887176.796369,788271396.842684,825382453.374725,755054932.922879,784325293.256878,821257819.440793,2466583.88132936,3882291.88921636,5772047.94581127
joint_structure_policy,low,2035,769772748.188145,801507293.097491,841309642.700165,765882381.360417,797480399.284089,837104656.622258,2506225.78928524,3948027.66172075,5869897.68322837
joint_structure_policy,low,2036,779334863.961687,813381681.981665,855796529.669855,775411284.759029,809282157.315597,851513373.627528,2543243.53976125,4007028.82992637,5959001.41750568
joint_structure_policy,low,2037,787321601.974887,823657252.31002,868535472.723956,783346162.430157,819473572.163302,864184823.868285,2573716.33096659,4056523.18014652,6038051.75306356
joint_structure_policy,low,2038,793754204.633497,832275203.042109,879518289.395017,789745784.463129,828083989.254984,875122407.917869,2600331.62717813,4097976.40442884,6102326.06279117
joint_structure_policy,low,2039,798381711.752477,838993202.259755,888436309.325817,794373291.621569,834785598.782349,883987456.457237,2619146.43888599,4130982.50690371,6153682.33051622
joint_structure_policy,low,2040,801725566.162522,844401157.513227,895865946.505602,797726930.548193,840158171.718478,891376589.960296,2634512.8587082,4156353.67556351,6192680.45159191
joint_structure_policy,low,2041,804083724.21393,848735893.181459,902089273.29203,800004902.103108,844476360.670478,897558843.093801,2646331.25098592,4176796.24993664,6226688.71121681
joint_structure_policy,low,2042,805703642.845339,852296064.310917,907437570.411905,801594614.357609,848046250.258408,902873043.352388,2656543.53583944,4193403.34792376,6254473.86112016
joint_structure_policy,low,2043,806813066.911418,855290333.252976,912087088.810506,802698859.72436,851038273.434594,907499463.957887,2664309.13325709,4206724.08863211,6277360.42925209
joint_structure_policy,low,2044,807401903.044325,857757361.856727,916044386.710967,803272060.562585,853472299.824162,911465710.425927,2671214.8353281,4217205.97590649,6297610.73442358
joint_structure_policy,low,2045,807456903.495241,859585365.45401,919300236.00434,803307341.662466,855296627.934088,914711262.154882,2675338.2860961,4224335.83930278,6310910.48978233
joint_structure_policy,low,2046,806997654.073416,860810307.203841,921847499.802345,802829864.157942,856553698.163096,917234568.25052,2677817.71667081,4229764.02298409,6320490.15564239
joint_structure_policy,low,2047,806040694.12515,861557258.396413,923726045.832459,801895790.260464,857259903.93767,919112352.75945,2678432.84876573,4231797.18004984,6323360.74959171
joint_structure_policy,low,2048,804590292.102054,861773340.178426,924969399.864799,800409183.982102,857435848.201214,920351404.666384,2677675.87357557,4230544.75467229,6324953.95528245
joint_structure_policy,low,2049,802727305.547222,861440444.044423,925590671.901226,798585180.861433,857122355.419258,920952629.499259,2675157.38977212,4227596.69022816,6321082.0056473
joint_structure_policy,low,2050,800356200.933335,860667736.167702,925626808.961357,796315169.118183,856359597.426312,920990525.889034,2671412.08756143,4222417.89051312,6314706.32239443
joint_structure_policy,medium,2024,634122783.852809,642361044.140532,652937764.75949,634122783.852809,642361044.140532,652937764.75949,0,0,0
joint_structure_policy,medium,2025,647077255.228544,657129472.100196,670142585.621629,643778451.102308,654104399.274169,666865909.081476,2354852.9584989,3261644.25616407,4373007.83557504
joint_structure_policy,medium,2026,660182552.82705,672133076.707325,687664035.300881,653460431.18523,665993351.065856,681113510.158403,4819714.30897534,6675471.36506182,8952408.52888703
joint_structure_policy,medium,2027,673392028.404865,687326678.575577,705442636.966473,663059763.726549,677876037.740164,695498450.745413,7395272.07872033,10244215.947565,13736574.0267006
joint_structure_policy,medium,2028,686381055.0834,702353483.87116,723124897.143197,672314998.874045,689434721.550938,709650143.797068,10076674.8325613,13964415.0235636,18727026.3511983
joint_structure_policy,medium,2029,699011589.559378,717087458.055667,740547362.382053,681036348.750663,700504405.104055,723384346.802547,12859875.0304167,17829318.1603906,23911780.4459537
joint_structure_policy,medium,2030,711738522.538631,731987704.404211,758175181.99305,689687116.276545,711563253.988472,737177418.159252,15753632.8712152,21841530.4492805,29312681.9324875
joint_structure_policy,medium,2031,724296393.378007,746768776.076155,775712835.889508,701938931.865094,725782893.487859,754073023.675124,16070918.0758106,22287815.432614,29924849.1673231
joint_structure_policy,medium,2032,736379313.286125,761112042.174385,792815501.683274,713673192.770608,739562417.519547,770560704.852929,16374841.2694458,22715750.7470293,30514368.7121203
joint_structure_policy,medium,2033,747877359.792212,774921133.603312,809344077.395909,724894179.535731,752797023.567721,786495376.844501,16666918.8052849,23127049.3873395,31090627.2788839
joint_structure_policy,medium,2034,758887176.796369,788271396.842684,825382453.374725,735581445.390053,765603460.113164,801960350.473173,16948137.2839891,23525236.4509619,31627434.0077944
joint_structure_policy,medium,2035,769772748.188145,801507293.097491,841309642.700165,746133531.604506,778309504.723404,817312535.729359,17230344.2204188,23918215.1141559,32176026.5942761
joint_structure_policy,medium,2036,779334863.961687,813381681.981665,855796529.669855,755389606.38871,789727716.781074,831296662.063615,17477788.3075602,24274066.5575479,32664716.0083207
joint_structure_policy,medium,2037,787321601.974887,823657252.31002,868535472.723956,763141735.496415,799543807.151214,843580111.68784,17693242.6343417,24577165.4740453,33086449.6472088
joint_structure_policy,medium,2038,793754204.633497,832275203.042109,879518289.395017,769364663.22228,807798554.939265,854155195.390584,17870343.1557324,24829454.2971299,33457385.9119925
joint_structure_policy,medium,2039,798381711.752477,838993202.259755,888436309.325817,773858773.40055,814223959.239167,862732160.004621,18004176.2095308,25025695.3189906,33748313.4781383
joint_structure_policy,medium,2040,801725566.162522,844401157.513227,895865946.505602,777095152.355401,819369887.649561,869855617.562158,18108977.2247769,25182542.0107178,33973869.5330027
joint_structure_policy,medium,2041,804083724.21393,848735893.181459,902089273.29203,779342139.199989,823457172.610792,875802484.802191,18186341.5945374,25302440.4948963,34150427.2599684
joint_structure_policy,medium,2042,805703642.845339,852296064.310917,907437570.411905,780907698.778732,826870418.627661,880923433.050004,18253476.4438176,25403783.1968086,34309289.7376712
joint_structure_policy,medium,2043,806813066.911418,855290333.252976,912087088.810506,782020911.590279,829709742.478796,885378508.597671,18311200.0045285,25487733.8325015,34425686.6318069
joint_structure_policy,medium,2044,807401903.044325,857757361.856727,916044386.710967,782588737.924028,832023614.673441,889158019.45179,18352291.3564247,25550175.254426,34525511.5888963
joint_structure_policy,medium,2045,807456903.495241,859585365.45401,919300236.00434,782691212.084411,833754380.620303,892270840.792686,18383289.3055503,25597839.9864329,34603225.0061048
joint_structure_policy,medium,2046,806997654.073416,860810307.203841,921847499.802345,782263302.402476,834912874.807835,894657828.03688,18401594.804095,25622266.9255252,34657138.0430039
joint_structure_policy,medium,2047,806040694.12515,861557258.396413,923726045.832459,781336605.943203,835567954.441283,896461025.298931,18403241.5849728,25634996.3284719,34680997.8040711
joint_structure_policy,medium,2048,804590292.102054,861773340.178426,924969399.864799,779929419.178868,835710743.676975,897609150.368296,18398408.0029602,25633838.4023345,34679800.5515275
joint_structure_policy,medium,2049,802727305.547222,861440444.044423,925590671.901226,778124848.762882,835404023.904289,898180555.947744,18381440.2562013,25617755.3395633,34678588.0453123
joint_structure_policy,medium,2050,800356200.933335,860667736.167702,925626808.961357,775940643.972121,834616110.882804,898170020.363712,18353507.7239413,25583894.2867429,34648666.8634048
joint_structure_policy,high,2024,634122783.852809,642361044.140532,652937764.75949,634122783.852809,642361044.140532,652937764.75949,0,0,0
joint_structure_policy,high,2025,647077255.228544,657129472.100196,670142585.621629,637228759.019205,647975024.797986,660489563.25399,7933957.08958822,9844455.99403077,12043043.1516455
joint_structure_policy,high,2026,660182552.82705,672133076.707325,687664035.300881,639895207.191159,653319245.504382,668287699.847926,16233111.9885392,20145704.4444224,24657360.9524021
joint_structure_policy,high,2027,673392028.404865,687326678.575577,705442636.966473,641976077.397104,658253992.745705,675923880.543389,24898150.6366565,30911922.8119154,37847895.293887
joint_structure_policy,high,2028,686381055.0834,702353483.87116,723124897.143197,643270371.434137,662525367.570105,683038614.520827,33922629.0668271,42133819.1496854,51609471.9557549
joint_structure_policy,high,2029,699011589.559378,717087458.055667,740547362.382053,643611787.210685,665904339.037919,689469552.514744,43277373.7906839,53782957.114679,65917150.4145858
joint_structure_policy,high,2030,711738522.538631,731987704.404211,758175181.99305,643567510.54801,668911207.880212,695650058.873036,52995355.1152005,65889395.5395123,80822096.6836733
joint_structure_policy,high,2031,724296393.378007,746768776.076155,775712835.889508,655298684.170355,682372273.741465,711385715.2685,54048117.9022117,67227172.0399925,82482963.270863
joint_structure_policy,high,2032,736379313.286125,761112042.174385,792815501.683274,666534005.639475,695374202.622952,726788339.500706,55063643.1291192,68518650.89511,84092552.0274599
joint_structure_policy,high,2033,747877359.792212,774921133.603312,809344077.395909,677297390.177292,707816156.856731,741639143.763049,56044422.327756,69762428.3625373,85690559.7316439
joint_structure_policy,high,2034,758887176.796369,788271396.842684,825382453.374725,687564348.382979,719826052.062701,756086211.882967,56994534.9105653,70963195.3196908,87212289.3592833
joint_structure_policy,high,2035,769772748.188145,801507293.097491,841309642.700165,697596065.860583,731771429.051204,770427783.464552,57927909.9836117,72147804.5719514,88744190.6331369
joint_structure_policy,high,2036,779334863.961687,813381681.981665,855796529.669855,706438893.965161,742463782.123278,783465447.736156,58768833.6078517,73218937.6036463,90123270.2826405
joint_structure_policy,high,2037,787321601.974887,823657252.31002,868535472.723956,713854849.210487,751598900.77644,794888541.771297,59456964.8361782,74154579.5291629,91315897.2838039
joint_structure_policy,high,2038,793754204.633497,832275203.042109,879518289.395017,719838655.937697,759281733.357161,804730730.664145,60062489.6310858,74928508.3610811,92320080.5207226
joint_structure_policy,high,2039,798381711.752477,838993202.259755,888436309.325817,724067190.431444,765252675.871079,812661918.635051,60501884.0054262,75525327.0935394,93103936.4190983
joint_structure_policy,high,2040,801725566.162522,844401157.513227,895865946.505602,727145712.814824,769975288.774143,819271797.160409,60845064.3758062,75999107.8996789,93717366.7711533
joint_structure_policy,high,2041,804083724.21393,848735893.181459,902089273.29203,729329333.75953,773716584.887684,824746758.993107,61112328.5561194,76371410.6143277,94222953.8549348
joint_structure_policy,high,2042,805703642.845339,852296064.310917,907437570.411905,730947025.095631,776776869.897013,829478674.548199,61331630.2902247,76672926.2343189,94637652.7420594
joint_structure_policy,high,2043,806813066.911418,855290333.252976,912087088.810506,732024646.814409,779338691.079503,833585647.89621,61496374.0337437,76924330.049531,95004428.6739376
joint_structure_policy,high,2044,807401903.044325,857757361.856727,916044386.710967,732630286.62617,781344187.833155,837063919.54948,61627748.8482787,77126946.8733468,95305697.6132893
joint_structure_policy,high,2045,807456903.495241,859585365.45401,919300236.00434,732794938.113192,782820274.199079,839857791.996778,61724890.0352712,77271979.3672752,95509651.3593225
joint_structure_policy,high,2046,806997654.073416,860810307.203841,921847499.802345,732468481.422367,783816160.298133,842062365.175904,61770639.4805856,77363769.7871014,95656788.817799
joint_structure_policy,high,2047,806040694.12515,861557258.396413,923726045.832459,731697023.46749,784303448.436184,843650776.723273,61780067.3126816,77399064.6225727,95763402.2811783
joint_structure_policy,high,2048,804590292.102054,861773340.178426,924969399.864799,730441705.273479,784355101.954942,844694647.133754,61758794.5214058,77388811.1308436,95789466.9737004
joint_structure_policy,high,2049,802727305.547222,861440444.044423,925590671.901226,728775846.692703,783972856.081387,845148210.89418,61687675.1599001,77341716.6448218,95760937.98269
joint_structure_policy,high,2050,800356200.933335,860667736.167702,925626808.961357,726857290.476389,783179813.072824,845059017.978144,61578753.8457518,77249735.2639292,95674012.4938098
